turns,white_rating,black_rating,rank_diff,opening_code,winner
26,884,951,-67,A01,Black
4,945,1070,-125,C40,Black
118,971,1149,-178,B00,Black
11,1238,985,253,A00,White
163,972,1247,-275,A20,Draw
95,1107,961,146,B00,White
37,974,1129,-155,D00,Black
101,1203,970,233,C21,White
80,998,937,61,C00,Black
78,1016,1126,-110,A00,Black
89,1025,1153,-128,C01,Draw
42,1047,1151,-104,D02,Black
8,998,1016,-18,C44,Black
101,1127,1044,83,C20,White
65,1020,1200,-180,D02,White
60,1069,1071,-2,D02,Black
71,1071,1068,3,D00,Draw
44,1115,1223,-108,D01,Black
20,1190,1213,-23,D01,Black
41,1337,1337,0,C40,White
40,1500,1500,0,B01,Black
27,1500,1571,-71,C41,White
59,1367,1866,-499,A00,Black
19,1590,1373,217,B00,White
50,1377,1667,-290,A00,Black
34,1558,1358,200,C88,Black
15,1476,1367,109,B00,White
52,1376,1469,-93,A00,Black
65,1460,1386,74,B00,White
67,1372,1408,-36,C41,White
31,1373,2148,-775,B40,Black
130,1500,1395,105,C00,Black
125,1382,1414,-32,C01,White
76,1320,1400,-80,C00,Black
121,1383,1330,53,A46,White
53,1383,1242,141,D02,White
116,1469,1357,112,C02,Black
47,959,1357,-398,A00,White
53,1357,959,398,D00,White
76,959,1357,-398,A00,Black
110,1588,1691,-103,C50,Draw
67,1541,1586,-45,B34,White
17,1517,1320,197,C40,White
39,1569,1569,0,A01,White
94,1563,1498,65,C03,Black
37,1903,1512,391,E20,White
37,1612,1450,162,B13,White
34,1327,1450,-123,B00,White
41,1245,1450,-205,B12,White
30,1921,1451,470,C40,Black
51,1462,1464,-2,A00,White
79,1450,1486,-36,C33,White
83,1439,1418,21,C33,White
14,1728,1500,228,C55,Black
21,1547,1563,-16,B02,White
47,1863,1567,296,B02,White
38,1559,1423,136,A40,White
34,1570,1611,-41,B06,Black
39,1562,1582,-20,B03,White
43,1576,1386,190,D00,White
41,1353,1595,-242,B10,White
49,1591,1326,265,D00,White
38,1560,1580,-20,B02,Black
70,1727,1574,153,B01,Black
48,1579,1841,-262,E00,Black
50,1877,1558,319,C11,Black
57,1536,1962,-426,A45,White
148,1529,1763,-234,D00,Draw
62,1590,1515,75,B01,Black
29,1653,1522,131,A80,White
52,1675,1505,170,B01,Black
26,1547,1491,56,B01,Black
59,1507,1399,108,A40,Black
2,1641,1502,139,B01,Draw
195,1496,1703,-207,A48,Draw
56,1482,1484,-2,B01,Black
40,1486,1909,-423,A40,Black
31,1919,1488,431,A11,White
60,1488,2192,-704,A45,Black
45,1470,1684,-214,D00,White
63,1465,1659,-194,A81,Draw
17,1586,1473,113,D02,White
34,1548,1488,60,B03,White
36,1500,1501,-1,A45,Black
62,1509,1487,22,B05,Black
46,1356,1491,-135,B01,Draw
34,1495,1771,-276,A45,Black
38,1529,1639,-110,C00,White
107,1631,1537,94,C41,White
42,1546,1621,-75,B54,Black
35,1568,1636,-68,C00,White
122,1354,1631,-277,C00,Black
71,1626,1384,242,B53,White
42,1639,1813,-174,B06,Black
2,1646,1795,-149,D00,Black
11,1646,939,707,D10,White
54,1657,1678,-21,B08,Black
58,1667,1668,-1,B06,White
42,1683,1599,84,C30,Black
116,1596,1686,-90,A40,Draw
74,1769,1659,110,A10,Black
54,1668,1761,-93,A40,Black
85,1752,1677,75,A15,White
38,1688,1743,-55,B43,Black
41,1582,1704,-122,C00,White
121,1693,1666,27,B53,White
30,1676,1680,-4,C00,Black
64,1142,1679,-537,D00,Black
15,1678,1148,530,C21,White
40,1154,1676,-522,A00,Black
128,1686,1098,588,B00,Draw
48,1102,1685,-583,A00,Black
51,1684,1107,577,C01,White
71,1493,1678,-185,C00,Black
60,1525,1693,-168,D02,White
58,1709,1681,28,A40,Black
60,1692,1699,-7,A03,Black
40,1688,1704,-16,A10,White
29,1699,1497,202,A11,White
98,1703,1943,-240,A15,Black
71,1694,1692,2,C10,Black
135,1696,1564,132,A10,Draw
34,1572,1688,-116,C01,Black
60,1392,1684,-292,C07,Black
47,1707,1696,11,A34,Black
23,1684,1720,-36,D08,White
78,1733,1672,61,A30,Black
35,1721,1736,-15,E61,White
53,1724,1733,-9,A08,White
120,1746,1712,34,A11,Black
41,1741,1496,245,A13,White
42,1295,1240,55,D11,Black
63,1430,1302,128,D03,White
23,1302,1248,54,D06,Black
32,1314,1270,44,D20,Black
73,1445,1314,131,D31,White
90,1321,1451,-130,D50,Black
41,1300,1333,-33,B52,White
43,1318,1449,-131,D06,White
38,1450,1303,147,A73,Black
41,1290,1367,-77,D20,White
84,1300,1330,-30,D35,Black
56,1209,1291,-82,A01,Black
30,1299,1418,-119,D31,Black
6,1814,1299,515,C50,White
67,1348,1308,40,C20,White
56,1318,1366,-48,D20,Black
103,1324,1329,-5,C44,White
40,1345,1187,158,D20,Black
52,1352,1149,203,D31,Black
57,1350,1429,-79,D35,Draw
23,1403,1340,63,A40,White
39,1322,1072,250,D20,White
52,1331,1382,-51,D08,Black
41,1373,1341,32,D21,White
33,1350,1265,85,C44,White
58,1270,1299,-29,D00,Black
31,1223,1282,-59,B01,White
15,1289,1306,-17,C50,White
32,1007,1268,-261,C50,Black
45,1170,1179,-9,C21,White
25,1442,1183,259,C70,White
15,1172,1170,2,C42,White
62,1178,1346,-168,B18,Black
59,1171,1190,-19,C53,White
51,1175,1329,-154,C78,White
22,1273,1160,113,D00,Black
27,1154,974,180,C41,White
34,1167,1122,45,C65,Black
79,1439,1171,268,C70,White
73,1245,1170,75,C53,White
74,1250,1156,94,A00,Black
92,1164,1263,-99,C70,Black
26,1173,1251,-78,B30,Black
40,1089,1165,-76,C50,Black
77,1278,1173,105,C20,White
58,1178,1391,-213,C64,Black
51,1164,1293,-129,C70,White
73,1353,1170,183,C53,White
50,1030,1162,-132,D02,Black
52,1176,1118,58,C42,Black
11,1353,1181,172,C20,White
61,1184,1184,0,C44,White
19,1171,1252,-81,C42,White
51,1157,1234,-77,C55,White
12,1034,1149,-115,D01,Black
86,1156,886,270,C50,Draw
27,1142,1226,-84,C00,White
86,1042,1133,-91,C20,Black
61,1123,1084,39,C40,White
53,1247,1122,125,C20,White
50,1070,1112,-42,A00,Black
16,1099,1173,-74,C15,White
110,1114,1027,87,C00,Black
45,914,1133,-219,C46,White
93,1125,996,129,C42,White
105,1242,1125,117,C26,White
60,1133,1234,-101,C50,Black
58,981,1127,-146,C70,Black
65,1111,1219,-108,C48,White
56,1126,1054,72,C41,Black
64,1147,908,239,B00,Black
4,914,1141,-227,A00,Black
58,1984,1948,36,B06,Black
34,1954,2158,-204,B23,Black
101,2008,1954,54,A10,White
35,1954,2008,-54,B23,Black
54,2008,1954,54,A15,Black
116,1954,2008,-54,A01,Black
115,2100,1960,140,A45,White
48,1945,1961,-16,B01,Draw
56,1982,1960,22,B01,Draw
54,1974,1899,75,A01,Black
37,2068,1982,86,B09,White
81,1959,2028,-69,A01,White
45,2005,1969,36,A02,White
161,1960,1868,92,A01,White
88,1964,2287,-323,B00,Black
148,1914,1965,-51,B01,Draw
119,1951,2049,-98,A01,White
60,2149,1933,216,A52,Black
34,1599,1929,-330,B01,Black
94,1882,1919,-37,B01,Black
122,1699,1914,-215,B01,Black
44,1916,2285,-369,A01,Black
26,1936,1638,298,A01,Black
116,1758,1929,-171,B01,Black
31,1265,1957,-692,B00,White
133,1954,1578,376,E90,White
65,1984,2050,-66,B23,White
62,2050,1627,423,A06,Black
62,1627,2050,-423,C00,Black
42,2050,1627,423,A04,Black
42,1627,2050,-423,B02,Black
158,1617,2050,-433,A48,Draw
31,2050,1852,198,B01,White
46,1981,2050,-69,A15,Black
20,2050,1981,69,B15,Black
73,1901,1164,737,C70,White
35,1164,1435,-271,B01,White
71,1435,1164,271,C50,White
46,1164,1435,-271,C48,White
52,1164,1901,-737,C48,Black
52,1245,1228,17,C60,Black
70,1287,1099,188,B20,Black
49,1866,1099,767,D17,White
75,1211,1230,-19,B20,White
61,1344,1500,-156,B50,White
41,1834,1500,334,C41,White
46,1500,1834,-334,D01,Black
53,1635,1500,135,D00,White
52,1456,1604,-148,D20,Black
36,1378,1318,60,C00,Black
64,1500,1487,13,D10,Black
65,1714,1709,5,A43,White
71,1613,1729,-116,C02,White
50,1731,2127,-396,B06,Black
54,1739,1840,-101,A65,Black
76,1760,1718,42,C02,Black
61,1708,1729,-21,C02,White
53,1721,1643,78,D30,White
24,1707,1712,-5,C07,Black
64,1170,1662,-492,B01,Black
51,1261,1237,24,A00,White
71,1100,1306,-206,A04,White
49,1590,1100,490,C41,White
34,1100,1590,-490,A06,Black
88,1302,875,427,C20,Black
11,1234,1335,-101,D02,Draw
11,1522,1500,22,C42,White
86,2306,2405,-99,C46,Black
58,2422,2386,36,B22,Black
50,2373,2356,17,B33,Black
62,2325,2338,-13,D02,Black
39,2336,1830,506,C45,White
49,2334,1836,498,C61,White
43,2329,2017,312,A67,White
84,1879,2326,-447,B52,Black
41,2323,1881,442,C42,White
48,1622,2322,-700,C47,Black
48,1933,2318,-385,B43,Black
38,1983,2313,-330,A40,Black
41,2312,1663,649,C62,White
28,1866,2309,-443,A04,Black
74,1835,2307,-472,D94,Black
29,2300,2041,259,E20,White
45,2288,2148,140,C42,White
61,2283,1947,336,D37,White
19,2275,2016,259,B17,White
48,1909,2271,-362,B22,Black
41,2263,2006,257,E21,White
30,1293,2263,-970,B02,Black
55,2257,1922,335,B34,White
72,2191,2239,-48,B43,Black
78,1380,2239,-859,D30,Black
34,1796,2235,-439,E00,Black
56,1879,2230,-351,B33,Black
49,2217,2059,158,A99,White
72,2336,2185,151,B43,Black
70,2175,1936,239,B09,White
83,2161,1984,177,C45,White
57,2150,1915,235,E61,White
39,1976,2135,-159,B22,Black
56,1830,2126,-296,A16,Black
46,2001,2105,-104,A22,Black
31,2104,1344,760,C41,White
66,1918,2086,-168,B30,Black
52,2082,1500,582,E21,White
100,1774,2071,-297,B41,Black
10,1778,2059,-281,B33,Black
49,1783,2045,-262,B90,Black
100,1788,2029,-241,B33,Black
107,1609,2109,-500,D43,White
44,1701,2100,-399,B21,Black
27,2091,1704,387,B01,White
72,1931,2061,-130,C48,Black
21,1408,1396,12,D30,White
91,1398,1383,15,D30,White
35,1387,1399,-12,D10,White
50,1394,1512,-118,D06,Black
56,1479,1381,98,B30,Black
37,1371,1374,-3,D30,White
66,1372,1360,12,B30,Black
40,1351,1287,64,C01,White
32,1209,1265,-56,A00,Black
26,1221,1820,-599,C20,Black
89,1332,1500,-168,A40,White
65,1528,1369,159,D02,Black
37,1231,1545,-314,C66,White
48,1142,1138,4,C42,White
54,1263,1264,-1,C41,Black
43,1392,1500,-108,B20,White
60,1906,1834,72,E17,Black
122,1841,2015,-174,A43,Black
49,1905,1852,53,B00,White
56,1467,1478,-11,A01,Black
77,1478,1500,-22,B27,White
60,1500,1478,22,A00,Black
33,1478,1362,116,B07,White
83,1478,1490,-12,C44,White
102,1453,1466,-13,C62,Black
29,1466,1592,-126,C45,White
91,1466,1582,-116,C41,White
34,1466,1744,-278,B34,Black
59,1479,1454,25,C45,Black
41,1566,1493,73,C62,White
54,1454,1421,33,D30,Black
43,1444,1465,-21,A00,White
34,1387,1457,-70,E90,Black
122,1417,1447,-30,D00,Black
51,1436,1439,-3,D46,White
62,1455,1081,374,C57,Black
30,1318,1448,-130,C57,Black
79,1437,1446,-9,B15,White
32,1448,1436,12,D02,Black
78,1308,1441,-133,C26,Black
82,1708,1851,-143,D02,Black
64,1960,2260,-300,D11,Black
59,1969,2247,-278,A08,Black
62,1325,1174,151,D02,Black
104,1325,1500,-175,C67,Black
65,1322,913,409,D02,White
23,1224,1332,-108,B21,White
50,1353,1068,285,D02,Black
58,1131,1347,-216,D01,Black
64,1197,1340,-143,B00,Black
56,1163,1340,-177,D00,Black
18,1362,976,386,C42,Black
43,1348,1381,-33,D02,White
24,1375,1334,41,C22,Black
125,911,1356,-445,A10,White
104,1030,1352,-322,C68,Black
29,1352,1408,-56,D02,White
48,2035,1352,683,B30,Black
65,1787,1417,370,C41,White
20,1810,1495,315,C40,Black
38,1783,1797,-14,A02,Black
26,1723,1814,-91,B33,White
70,1645,1806,-161,A52,Black
35,1800,1590,210,B21,White
23,1798,1250,548,C79,White
76,1602,1791,-189,B21,Black
68,1415,1788,-373,B21,Black
4,1758,1804,-46,A51,White
30,1815,1889,-74,B00,Black
59,1800,1831,-31,B01,White
77,1820,1814,6,A01,White
76,1830,1809,21,B01,Black
34,1914,1842,72,B33,White
53,1856,1903,-47,C66,Black
178,2153,2474,-321,D02,Draw
91,2474,2477,-3,E30,Draw
57,2469,2216,253,B33,White
42,2220,2464,-244,C47,Black
48,1973,2462,-489,E20,Black
33,2465,2384,81,D00,Draw
71,2460,2240,220,A45,White
26,2104,2456,-352,C27,Black
32,2301,2449,-148,C29,Black
63,2447,2005,442,B07,White
86,2306,2438,-132,C48,Black
99,2432,2213,219,A42,White
36,2255,2425,-170,D00,Black
153,2428,2360,68,A71,Draw
112,2208,2421,-213,A02,Black
39,2418,2067,351,D30,White
28,2083,2415,-332,D00,Black
65,2409,2182,227,E61,White
21,2281,2400,-119,D00,Black
98,2015,2397,-382,C77,Black
31,1426,1371,55,B06,Black
68,1437,1476,-39,C62,Black
42,1719,1679,40,D35,White
42,1689,1670,19,B32,Black
59,1672,1701,-29,B21,White
80,1695,1923,-228,B94,Black
31,1706,1698,8,B30,Black
107,1687,1717,-30,D30,White
18,1728,1723,5,B40,Black
72,1648,1719,-71,B30,Black
45,1719,1765,-46,C41,White
66,1648,1710,-62,D02,Black
93,1696,1722,-26,D00,White
90,1732,1768,-36,C45,Black
23,1833,1740,93,C55,White
118,1433,1737,-304,D00,Black
103,1729,2008,-279,B32,Draw
23,1722,1605,117,B32,White
91,1713,1659,54,C55,White
56,1605,1698,-93,A00,Black
71,1690,1613,77,C00,White
48,1622,1681,-59,A00,Black
80,1702,1681,21,C46,Black
33,1568,1696,-128,B32,White
84,1707,1699,8,C00,Black
51,1453,1724,-271,C55,White
47,1735,1733,2,C60,Black
74,1744,1801,-57,B43,Black
77,1854,1730,124,C45,Black
54,1705,1719,-14,C62,Black
75,1709,1716,-7,B00,White
89,1694,1825,-131,C41,White
62,1651,1684,-33,C20,Black
49,1706,1695,11,B20,White
67,1683,1717,-34,C41,White
73,1707,1693,14,D00,White
43,1758,1702,56,D02,White
70,1713,1709,4,B38,Black
28,1724,1734,-10,B32,Black
16,1730,1882,-152,B30,Black
47,2334,1800,534,A40,White
52,1680,1789,-109,B00,Black
43,1774,1768,6,A04,White
78,1711,1760,-49,B00,Black
75,1760,1542,218,A08,White
105,1713,1609,104,A01,White
103,1710,1618,92,A00,White
35,1374,1613,-239,C64,Black
45,1603,1539,64,B07,White
92,1564,1603,-39,C64,Draw
108,1821,1842,-21,B90,Black
154,1512,1821,-309,D04,Black
21,1821,1832,-11,B13,White
48,1832,1821,11,B12,Black
89,1821,1832,-11,B12,Draw
31,1832,1821,11,B12,White
66,1500,1821,-321,D00,Black
80,1821,1820,1,B01,White
62,1500,1821,-321,B13,White
120,1877,1821,56,B13,Black
38,1902,1830,72,B11,White
61,1830,1311,519,C45,White
28,1824,1830,-6,B10,Black
99,1548,1842,-294,B12,White
49,1858,1730,128,C00,Black
44,1891,1845,46,B01,Black
55,1876,1856,20,B01,White
92,1867,1883,-16,C45,Black
27,1864,1449,415,B01,White
98,1922,1851,71,D10,Black
24,1861,1899,-38,B10,Black
4,1527,1861,-334,A02,Black
16,1878,1698,180,B01,Black
85,1878,1906,-28,B87,White
70,1660,1873,-213,B01,Black
36,1707,1873,-166,B01,Black
124,1806,1875,-69,D12,Draw
61,1864,1842,22,B30,White
66,1853,1853,0,B01,Black
20,1882,1840,42,B01,Black
49,1832,1696,136,B07,White
42,1704,1824,-120,A20,Black
32,1841,1688,153,B07,Black
70,1695,1834,-139,A03,Black
52,1851,1679,172,B07,Black
18,1527,1882,-355,C20,Black
4,1527,1882,-355,A02,Black
54,1500,1901,-401,D10,Black
4,1533,1897,-364,A02,Black
5,1894,1539,355,A00,White
26,1545,1890,-345,C20,Black
4,1552,1887,-335,A02,Black
115,1923,1887,36,D00,Draw
