rated,turns,time_increment,white_rating,black_rating,rank_diff,opening_code,opening_moves,victory_status,winner
TRUE,113,15+0,1745,1714,31,D06,4,Draw,Draw
TRUE,62,15+0,1734,1748,-14,D06,4,Resign,White
TRUE,101,10+0,1942,1739,203,C10,6,Resign,White
TRUE,75,10+0,1724,1855,-131,C45,7,Out of Time,White
TRUE,135,10+0,1951,1729,222,C02,11,Mate,White
TRUE,81,10+0,1726,1388,338,C41,5,Out of Time,White
TRUE,46,10+0,1735,1806,-71,D80,6,Resign,Black
TRUE,70,10+0,1597,1728,-131,C00,3,Mate,Black
TRUE,39,10+0,1743,1738,5,C10,10,Resign,White
TRUE,91,10+0,1721,1750,-29,D30,7,Resign,White
TRUE,137,10+0,1746,1487,259,D20,5,Out of Time,White
TRUE,46,10+0,1744,1735,9,C02,9,Resign,Black
TRUE,18,10+0,1749,1631,118,D41,9,Resign,Black
TRUE,28,10+0,1769,1396,373,D20,5,Resign,Black
TRUE,40,5+8,1795,1760,35,A46,5,Resign,Black
TRUE,111,15+0,1729,1795,-66,D31,5,Mate,White
TRUE,54,10+0,1795,1784,11,C64,6,Mate,Black
TRUE,33,10+0,1770,1872,-102,D02,3,Resign,White
TRUE,90,10+0,1783,1721,62,D02,5,Resign,Black
TRUE,90,10+0,1884,1768,116,C64,7,Resign,Black
TRUE,40,10+0,1756,1756,0,C24,5,Mate,Black
TRUE,49,8+0,1724,1958,-234,A43,5,Out of Time,White
TRUE,50,10+0,2036,1706,330,A08,6,Resign,Black
TRUE,59,10+0,1706,925,781,D02,5,Mate,White
TRUE,26,15+15,1244,1219,25,B00,4,Out of Time,Black
TRUE,23,15+15,1215,921,294,C50,5,Mate,White
TRUE,118,15+15,1350,1201,149,B03,5,Mate,Black
TRUE,66,15+15,1210,1280,-70,B29,4,Mate,Black
TRUE,120,15+15,1139,1212,-73,C50,8,Draw,Draw
TRUE,36,15+15,1220,1341,-121,C57,11,Mate,Black
TRUE,26,15+15,1234,1359,-125,C55,6,Mate,Black
TRUE,62,15+15,1275,1236,39,C57,11,Resign,Black
TRUE,37,15+15,1433,1282,151,B02,3,Resign,White
TRUE,24,15+15,1132,1276,-144,D06,4,Resign,Black
FALSE,47,30+2,1276,1308,-32,C55,6,Resign,White
TRUE,37,15+15,1228,1266,-38,B02,7,Resign,Black
TRUE,24,15+15,1273,1409,-136,B13,5,Resign,Black
TRUE,9,15+15,1338,1277,61,D00,3,Resign,White
TRUE,47,15+15,1263,1336,-73,B57,8,Mate,White
TRUE,85,15+15,1316,1273,43,A20,2,Mate,White
TRUE,39,15+15,1248,1253,-5,B00,2,Mate,White
TRUE,58,15+15,1335,1233,102,E20,6,Mate,Black
TRUE,95,15+15,1223,1189,34,C57,11,Mate,White
TRUE,2,15+15,1443,1204,239,B02,2,Resign,Black
TRUE,97,15+15,1227,1216,11,D06,4,Mate,White
TRUE,12,15+15,1215,1219,-4,C50,5,Draw,Draw
TRUE,30,15+15,1227,1227,0,C50,8,Resign,White
TRUE,43,10+0,1550,1225,325,E11,8,Mate,White
TRUE,11,15+15,1325,1234,91,B02,2,Resign,White
TRUE,72,15+15,1212,1221,-9,B02,5,Mate,Black
TRUE,156,15+15,1226,1478,-252,C40,3,Mate,Black
TRUE,18,25+0,1228,1626,-398,D30,4,Resign,Black
FALSE,77,10+2,1191,1228,-37,C11,7,Mate,White
TRUE,32,30+0,1422,1210,212,B02,5,Resign,Black
TRUE,35,15+15,1186,1223,-37,C28,5,Resign,White
TRUE,85,15+15,1212,1212,0,B06,2,Mate,White
TRUE,50,15+15,1228,1343,-115,B01,6,Resign,Black
TRUE,111,10+10,1865,1862,3,A46,5,Resign,White
TRUE,65,7+2,1852,1852,0,B30,5,Out of Time,White
TRUE,73,15+0,1833,1863,-30,A56,4,Resign,White
TRUE,125,15+0,1851,1918,-67,B27,4,Resign,White
TRUE,76,15+0,1861,1844,17,C55,6,Resign,Black
TRUE,65,10+0,1853,1774,79,C65,6,Out of Time,White
TRUE,41,10+0,1910,1862,48,B90,11,Mate,White
TRUE,59,10+0,1851,1890,-39,C00,3,Resign,White
TRUE,70,15+5,1860,1840,20,B50,5,Resign,Black
TRUE,34,25+25,1828,1848,-20,B51,5,Resign,White
TRUE,69,8+0,1855,1858,-3,E00,1,Out of Time,White
TRUE,63,10+10,1847,1895,-48,C70,8,Resign,White
TRUE,107,10+10,1885,1856,29,B50,4,Resign,White
TRUE,58,30+0,1847,1802,45,A40,1,Resign,White
FALSE,34,20+5,1847,1856,-9,B11,6,Resign,Black
TRUE,100,15+0,1840,1837,3,B22,3,Out of Time,Black
TRUE,80,5+5,1848,1806,42,B40,4,Resign,Black
TRUE,44,15+0,1860,1820,40,C00,3,Resign,Black
TRUE,40,10+0,1854,1849,5,A45,3,Out of Time,Black
TRUE,105,10+0,1895,1859,36,B50,4,Out of Time,White
TRUE,50,15+0,1866,1965,-99,B31,6,Resign,Black
FALSE,144,10+0,1866,1843,23,B50,4,Out of Time,Draw
FALSE,81,10+0,1835,1866,-31,B18,11,Resign,Black
TRUE,69,15+0,1877,1860,17,C61,6,Resign,Black
TRUE,77,7+8,1849,1874,-25,B90,11,Mate,White
TRUE,158,6+6,1835,1865,-30,E10,6,Mate,Black
TRUE,107,15+5,1866,1835,31,C55,7,Draw,Draw
TRUE,117,15+0,1856,1829,27,C78,12,Mate,White
TRUE,44,10+0,1845,1846,-1,C70,8,Resign,White
TRUE,40,15+0,1834,1835,-1,B30,4,Resign,Black
TRUE,59,15+5,1846,1845,1,B10,2,Resign,White
FALSE,110,10+0,1845,1917,-72,D06,4,Resign,Black
TRUE,30,15+0,1858,1790,68,B01,4,Resign,Black
TRUE,54,10+0,1871,1847,24,B30,4,Resign,Black
TRUE,69,10+0,1846,1869,-23,C41,5,Resign,Black
TRUE,178,16+0,1843,1836,7,B22,3,Mate,Black
TRUE,136,15+0,1800,1826,-26,B20,2,Resign,Black
FALSE,124,8+0,1283,1267,16,B30,5,Mate,Black
TRUE,96,10+4,1290,1270,20,A00,1,Resign,Black
TRUE,53,12+0,1331,1281,50,D00,4,Out of Time,White
TRUE,39,10+0,1304,1292,12,A00,1,Mate,White
TRUE,10,10+0,1305,1293,12,C00,3,Mate,Black
TRUE,51,10+0,1308,1317,-9,C22,8,Mate,White
TRUE,18,15+0,1296,1305,-9,C54,13,Resign,Black
FALSE,106,30+0,968,1305,-337,C50,8,Mate,Black
FALSE,38,15+15,1293,1466,-173,C41,5,Mate,Black
TRUE,59,7+2,1500,1299,201,C68,7,Mate,White
TRUE,111,7+2,1288,1232,56,B12,3,Mate,White
TRUE,28,7+2,1289,2108,-819,C77,9,Resign,Black
FALSE,101,7+2,1431,1289,142,C22,6,Out of Time,White
FALSE,15,7+2,1806,1289,517,C45,7,Mate,White
FALSE,42,7+2,1289,1311,-22,C41,5,Resign,White
FALSE,118,7+2,1431,1289,142,A40,3,Resign,Black
FALSE,34,7+2,1289,1484,-195,C50,6,Resign,Black
FALSE,60,7+2,1289,1810,-521,A42,5,Resign,Black
FALSE,66,7+2,1806,1289,517,C44,5,Resign,Black
FALSE,21,5+8,1289,1500,-211,C41,5,Out of Time,White
TRUE,73,15+1,1409,1297,112,C70,8,Mate,White
TRUE,159,15+1,1280,1485,-205,C55,6,Mate,White
FALSE,74,15+0,1280,1211,69,B01,4,Resign,White
FALSE,28,15+0,1211,1280,-69,A00,3,Mate,Black
TRUE,112,10+0,1281,1765,-484,C41,6,Mate,Black
TRUE,104,15+1,1288,1454,-166,C42,4,Resign,Black
TRUE,40,15+1,1560,1270,290,D07,5,Mate,Black
TRUE,44,15+1,1274,1534,-260,B27,4,Mate,Black
TRUE,150,15+1,1259,1663,-404,C55,6,Draw,Draw
TRUE,60,10+0,1614,1238,376,D02,5,Mate,Black
TRUE,37,10+0,1221,1417,-196,C02,11,Mate,White
TRUE,88,10+0,1222,1732,-510,B32,7,Out of Time,Black
TRUE,113,10+0,1232,1234,-2,C68,7,Mate,White
TRUE,55,20+5,1240,1219,21,C42,8,Mate,White
TRUE,135,10+0,1590,1600,-10,A22,5,Mate,White
TRUE,137,10+0,1568,1617,-49,C50,5,Draw,Draw
TRUE,97,10+0,1500,1358,142,C46,6,Out of Time,White
FALSE,33,10+2,1384,1325,59,B07,2,Resign,Black
FALSE,29,30+0,1384,1265,119,A06,3,Resign,Black
FALSE,55,2+10,1384,1950,-566,A04,2,Resign,Black
TRUE,91,20+10,1377,1249,128,B01,4,Resign,White
TRUE,53,9+0,1375,1389,-14,C20,4,Resign,White
TRUE,49,10+2,1378,1361,17,C41,5,Mate,White
TRUE,48,10+2,1261,1371,-110,B07,4,Mate,Black
TRUE,20,10+9,1380,1429,-49,B30,4,Resign,Black
TRUE,87,10+0,1369,1368,1,C42,6,Mate,White
TRUE,11,10+0,1290,1371,-81,C77,9,Resign,White
TRUE,110,15+3,1372,1326,46,B00,2,Draw,Draw
TRUE,24,6+7,1361,1383,-22,A00,1,Resign,White
TRUE,23,15+15,1217,1399,-182,A22,4,Resign,White
TRUE,81,15+30,1387,1447,-60,C60,5,Mate,White
FALSE,34,20+0,1474,1387,87,B01,2,Resign,Black
TRUE,103,15+2,1377,1351,26,C41,4,Mate,White
TRUE,29,30+10,1389,1339,50,C40,4,Resign,Black
FALSE,22,30+15,1389,1400,-11,C41,4,Resign,Black
FALSE,38,10+0,1849,1389,460,C44,5,Resign,White
TRUE,46,8+0,1395,1378,17,C50,9,Mate,Black
TRUE,23,5+5,1370,1257,113,C61,6,Out of Time,White
TRUE,31,10+3,1360,1332,28,B00,5,Resign,White
FALSE,51,10+0,1311,1360,-49,C21,4,Resign,White
FALSE,87,20+0,1714,1360,354,C64,6,Mate,White
TRUE,31,45+30,1354,1217,137,C50,5,Mate,White
TRUE,38,15+15,1245,1346,-101,D20,5,Resign,Black
FALSE,43,10+4,1346,1099,247,C55,6,Resign,White
TRUE,105,9+2,1336,1287,49,A07,4,Resign,White
FALSE,87,10+0,1580,1555,25,A10,2,Out of Time,White
FALSE,36,10+0,1555,1580,-25,B40,6,Mate,Black
TRUE,38,6+6,1649,1547,102,C02,6,Resign,Black
TRUE,110,8+0,1426,1527,-101,C00,3,Resign,Black
TRUE,48,15+0,1557,1547,10,C70,8,Resign,Black
FALSE,95,5+8,1557,1607,-50,E20,5,Mate,White
FALSE,70,5+8,1607,1557,50,A02,1,Mate,Black
FALSE,42,10+0,1557,1632,-75,B32,7,Resign,White
TRUE,177,10+3,1535,1609,-74,C58,11,Out of Time,White
TRUE,114,10+2,1713,1558,155,A00,2,Mate,Black
TRUE,57,10+2,1497,1730,-233,B00,2,Resign,White
TRUE,57,7+3,1437,1552,-115,C50,5,Resign,White
FALSE,82,10+0,1516,1552,-36,A03,2,Draw,Draw
TRUE,29,7+3,1513,1456,57,B54,5,Mate,White
TRUE,70,10+0,1355,1478,-123,C55,7,Resign,Black
TRUE,97,10+0,1638,1614,24,C55,6,Mate,White
TRUE,99,6+5,1613,1934,-321,B12,11,Resign,White
FALSE,74,10+0,1865,1613,252,D03,5,Resign,Black
TRUE,48,8+0,1776,1587,189,D00,2,Mate,Black
TRUE,77,15+0,1568,1593,-25,C10,6,Mate,White
TRUE,80,15+0,1605,1546,59,B01,6,Resign,Black
TRUE,35,8+0,1518,1709,-191,B00,5,Resign,White
TRUE,33,10+0,1728,1527,201,D31,8,Resign,White
TRUE,87,10+0,1515,1379,136,B01,4,Mate,White
TRUE,40,10+0,1538,1501,37,B06,4,Resign,Black
TRUE,54,10+0,1511,1516,-5,D30,4,Resign,Black
TRUE,67,10+0,1464,1495,-31,C69,9,Resign,Black
TRUE,21,10+0,1470,1475,-5,C40,4,Mate,White
TRUE,14,10+0,1490,1440,50,C50,6,Mate,Black
FALSE,71,15+15,1611,1974,-363,D41,18,Resign,White
TRUE,72,10+0,1611,1945,-334,E20,8,Out of Time,Black
TRUE,62,10+0,1584,1611,-27,A31,5,Resign,Black
TRUE,48,10+0,1942,1611,331,A00,1,Resign,Black
TRUE,6,10+2,1217,1611,-394,C46,6,Out of Time,Black
TRUE,69,20+0,1611,2059,-448,D46,12,Draw,Draw
TRUE,72,15+15,1611,1478,133,B27,4,Resign,White
TRUE,40,15+15,1486,1552,-66,C44,5,Mate,Black
TRUE,29,15+15,1453,1496,-43,B06,2,Mate,White
TRUE,44,15+15,1340,1326,14,A40,2,Resign,White
TRUE,59,10+0,1532,1500,32,C00,3,Mate,White
TRUE,115,10+0,1560,1557,3,C34,6,Resign,White
TRUE,70,10+0,1571,1577,-6,A03,2,Resign,Black
TRUE,36,10+0,1580,1617,-37,A03,2,Resign,Black
TRUE,83,10+0,1531,1593,-62,C46,7,Resign,White
TRUE,99,10+0,1449,1597,-148,C48,9,Draw,Draw
TRUE,43,10+0,1743,1604,139,C34,6,Resign,White
TRUE,89,10+0,1604,1614,-10,C48,8,Resign,White
TRUE,96,10+0,1550,1605,-55,D00,3,Resign,Black
FALSE,116,10+0,1630,1605,25,C42,8,Mate,Black
FALSE,78,15+0,1475,1605,-130,A00,1,Mate,Black
FALSE,77,15+0,1605,1475,130,A02,1,Mate,White
FALSE,70,15+0,1475,1605,-130,C20,3,Mate,Black
FALSE,27,10+0,1570,1605,-35,C42,7,Resign,White
FALSE,102,10+0,1605,1500,105,A02,1,Resign,Black
FALSE,21,10+0,1500,1605,-105,C47,9,Resign,White
FALSE,33,10+0,1605,1500,105,A02,1,Resign,White
FALSE,74,10+0,1513,1605,-92,C42,5,Resign,Black
TRUE,65,25+5,1790,1874,-84,A00,1,Resign,White
TRUE,81,25+5,1864,1805,59,B24,5,Resign,White
TRUE,45,25+5,1496,1861,-365,A45,3,Resign,Black
TRUE,52,25+5,1851,1853,-2,C67,8,Resign,White
TRUE,51,10+0,1861,1863,-2,B11,4,Resign,White
TRUE,48,10+0,1618,1609,9,C00,3,Draw,Draw
TRUE,20,10+0,1620,1607,13,A00,1,Resign,Black
TRUE,50,10+0,1621,1496,125,B30,5,Mate,Black
TRUE,98,10+0,1633,1581,52,C41,5,Resign,Black
TRUE,106,10+0,1623,1623,0,C60,6,Mate,Black
TRUE,19,10+0,1612,1614,-2,C50,5,Resign,White
TRUE,22,10+0,1605,1624,-19,C50,8,Resign,White
TRUE,114,10+0,1693,1621,72,E61,4,Draw,Draw
TRUE,69,10+0,1631,1684,-53,B50,4,Resign,Black
TRUE,34,10+0,1636,1619,17,C53,8,Mate,Black
TRUE,40,10+0,1613,1617,-4,C57,8,Mate,Black
TRUE,108,10+0,1627,1495,132,C50,6,Resign,Black
TRUE,27,10+0,1480,1643,-163,C23,3,Resign,White
TRUE,63,10+0,1631,1652,-21,B30,5,Resign,White
TRUE,31,10+0,1687,1641,46,C44,5,Resign,White
TRUE,71,10+0,1630,1638,-8,C55,6,Resign,White
TRUE,92,10+0,1414,1624,-210,C60,6,Mate,Black
TRUE,47,10+0,1619,1419,200,C57,7,Mate,White
TRUE,56,10+0,1629,1659,-30,C42,5,Resign,Black
TRUE,48,10+0,1649,1639,10,C23,3,Resign,White
TRUE,124,10+0,1677,1627,50,A00,1,Resign,Black
TRUE,49,10+0,1705,1636,69,C45,8,Mate,White
TRUE,64,10+0,1647,1635,12,B96,13,Resign,Black
TRUE,29,10+0,1637,1627,10,C53,7,Resign,White
TRUE,45,10+0,1626,1631,-5,C50,5,Resign,White
TRUE,96,10+0,1602,1615,-13,C34,6,Resign,Black
TRUE,92,10+0,1634,1603,31,C23,3,Resign,Black
TRUE,40,10+0,1611,1591,20,C50,9,Mate,Black
TRUE,123,10+0,1579,1623,-44,C54,19,Mate,White
TRUE,129,10+0,1995,1581,414,A05,4,Mate,White
TRUE,120,10+0,1589,1569,20,D92,9,Mate,Black
TRUE,71,10+0,1570,1555,15,C55,6,Draw,Draw
TRUE,97,10+0,1559,1557,2,C00,3,Mate,White
TRUE,60,10+0,1546,1571,-25,A45,2,Resign,White
TRUE,57,10+0,1550,1567,-17,B21,6,Resign,White
TRUE,38,5+7,1560,1419,141,B12,5,Resign,White
TRUE,111,8+0,1840,1564,276,C45,8,Resign,White
TRUE,119,10+0,1660,1549,111,A49,4,Resign,Black
TRUE,33,10+0,1534,1678,-144,C41,5,Mate,White
TRUE,32,10+0,1789,1538,251,E10,6,Resign,White
TRUE,96,15+0,1841,1921,-80,C22,8,Resign,Black
TRUE,92,8+10,1926,1737,189,A04,2,Draw,Draw
TRUE,64,8+2,1629,1887,-258,D00,3,Resign,Black
TRUE,10,5+5,1860,1712,148,C37,7,Resign,Black
TRUE,85,20+8,1500,1568,-68,A09,4,Resign,White
TRUE,40,10+0,1780,2132,-352,B90,10,Resign,Black
TRUE,58,10+0,966,1124,-158,B01,2,Resign,Black
TRUE,26,15+15,884,951,-67,A01,2,Out of Time,Black
TRUE,4,15+15,945,1070,-125,C40,3,Out of Time,Black
TRUE,118,10+0,971,1149,-178,B00,3,Mate,Black
TRUE,11,15+15,1238,985,253,A00,1,Mate,White
TRUE,163,10+0,972,1247,-275,A20,2,Out of Time,Draw
TRUE,95,10+0,1107,961,146,B00,4,Mate,White
TRUE,37,10+0,974,1129,-155,D00,3,Resign,Black
TRUE,101,10+2,1203,970,233,C21,3,Mate,White
TRUE,80,10+0,998,937,61,C00,5,Out of Time,Black
TRUE,78,10+0,1016,1126,-110,A00,1,Resign,Black
TRUE,89,10+0,1025,1153,-128,C01,4,Out of Time,Draw
TRUE,42,10+0,1047,1151,-104,D02,4,Mate,Black
TRUE,8,10+0,998,1016,-18,C44,6,Out of Time,Black
TRUE,101,10+0,1127,1044,83,C20,3,Out of Time,White
TRUE,65,10+0,1020,1200,-180,D02,3,Out of Time,White
TRUE,60,10+0,1069,1071,-2,D02,4,Mate,Black
TRUE,71,10+0,1071,1068,3,D00,3,Draw,Draw
TRUE,44,10+0,1115,1223,-108,D01,4,Resign,Black
TRUE,20,10+0,1190,1213,-23,D01,4,Resign,Black
TRUE,41,10+0,1337,1337,0,C40,3,Resign,White
TRUE,40,10+0,1500,1500,0,B01,2,Resign,Black
TRUE,27,25+25,1500,1571,-71,C41,7,Resign,White
TRUE,59,15+10,1367,1866,-499,A00,1,Resign,Black
TRUE,19,10+0,1590,1373,217,B00,2,Mate,White
TRUE,50,10+0,1377,1667,-290,A00,1,Mate,Black
TRUE,34,10+0,1558,1358,200,C88,15,Resign,Black
TRUE,15,5+8,1476,1367,109,B00,2,Mate,White
TRUE,52,5+8,1376,1469,-93,A00,1,Resign,Black
TRUE,65,5+8,1460,1386,74,B00,2,Mate,White
TRUE,67,10+0,1372,1408,-36,C41,5,Resign,White
TRUE,31,5+5,1373,2148,-775,B40,4,Resign,Black
FALSE,130,8+0,1500,1395,105,C00,2,Mate,Black
TRUE,125,8+0,1382,1414,-32,C01,5,Mate,White
TRUE,76,15+5,1320,1400,-80,C00,3,Resign,Black
TRUE,121,15+5,1383,1330,53,A46,3,Resign,White
FALSE,53,30+0,1383,1242,141,D02,3,Resign,White
TRUE,116,16+0,1469,1357,112,C02,9,Out of Time,Black
FALSE,47,25+0,959,1357,-398,A00,4,Resign,White
FALSE,53,25+0,1357,959,398,D00,3,Resign,White
FALSE,76,25+0,959,1357,-398,A00,4,Mate,Black
TRUE,110,15+10,1588,1691,-103,C50,8,Draw,Draw
TRUE,67,15+3,1541,1586,-45,B34,9,Mate,White
TRUE,17,30+5,1517,1320,197,C40,4,Resign,White
TRUE,39,25+15,1569,1569,0,A01,2,Mate,White
TRUE,94,30+0,1563,1498,65,C03,5,Resign,Black
TRUE,37,10+10,1903,1512,391,E20,8,Resign,White
TRUE,37,20+0,1612,1450,162,B13,5,Mate,White
FALSE,34,15+15,1327,1450,-123,B00,3,Resign,White
FALSE,41,10+0,1245,1450,-205,B12,5,Out of Time,White
FALSE,30,15+7,1921,1451,470,C40,4,Resign,Black
TRUE,51,10+0,1462,1464,-2,A00,3,Resign,White
TRUE,79,10+0,1450,1486,-36,C33,6,Mate,White
TRUE,83,10+0,1439,1418,21,C33,5,Resign,White
TRUE,14,8+8,1728,1500,228,C55,6,Resign,Black
TRUE,21,10+0,1547,1563,-16,B02,4,Resign,White
TRUE,47,10+0,1863,1567,296,B02,2,Resign,White
TRUE,38,10+0,1559,1423,136,A40,2,Resign,White
TRUE,34,10+0,1570,1611,-41,B06,7,Resign,Black
TRUE,39,10+0,1562,1582,-20,B03,6,Resign,White
TRUE,43,5+9,1576,1386,190,D00,3,Resign,White
TRUE,41,5+8,1353,1595,-242,B10,3,Mate,White
TRUE,49,16+7,1591,1326,265,D00,3,Resign,White
TRUE,38,10+10,1560,1580,-20,B02,4,Out of Time,Black
TRUE,70,5+5,1727,1574,153,B01,4,Out of Time,Black
TRUE,48,10+0,1579,1841,-262,E00,4,Resign,Black
TRUE,50,10+0,1877,1558,319,C11,11,Resign,Black
TRUE,57,10+0,1536,1962,-426,A45,3,Resign,White
TRUE,148,10+0,1529,1763,-234,D00,3,Out of Time,Draw
TRUE,62,10+7,1590,1515,75,B01,4,Mate,Black
TRUE,29,10+0,1653,1522,131,A80,2,Resign,White
TRUE,52,10+0,1675,1505,170,B01,6,Mate,Black
TRUE,26,10+0,1547,1491,56,B01,6,Mate,Black
TRUE,59,10+0,1507,1399,108,A40,2,Resign,Black
TRUE,2,10+0,1641,1502,139,B01,2,Draw,Draw
TRUE,195,10+0,1496,1703,-207,A48,5,Draw,Draw
TRUE,56,10+0,1482,1484,-2,B01,4,Resign,Black
TRUE,40,10+0,1486,1909,-423,A40,2,Resign,Black
TRUE,31,10+0,1919,1488,431,A11,2,Mate,White
TRUE,60,10+0,1488,2192,-704,A45,2,Resign,Black
TRUE,45,10+0,1470,1684,-214,D00,3,Resign,White
TRUE,63,5+8,1465,1659,-194,A81,3,Draw,Draw
