rated,turns,time_increment,white_rating,black_rating,opening_code,opening_moves,victory_status,winner
TRUE,37,15+15,1433,1282,B02,3,Resign,White
TRUE,24,15+15,1132,1276,D06,4,Resign,Black
FALSE,47,30+2,1276,1308,C55,6,Resign,White
TRUE,37,15+15,1228,1266,B02,7,Resign,Black
TRUE,24,15+15,1273,1409,B13,5,Resign,Black
TRUE,9,15+15,1338,1277,D00,3,Resign,White
TRUE,47,15+15,1263,1336,B57,8,Mate,White
TRUE,85,15+15,1316,1273,A20,2,Mate,White
TRUE,39,15+15,1248,1253,B00,2,Mate,White
TRUE,58,15+15,1335,1233,E20,6,Mate,Black
TRUE,95,15+15,1223,1189,C57,11,Mate,White
TRUE,2,15+15,1443,1204,B02,2,Resign,Black
TRUE,97,15+15,1227,1216,D06,4,Mate,White
TRUE,12,15+15,1215,1219,C50,5,Draw,Draw
TRUE,30,15+15,1227,1227,C50,8,Resign,White
TRUE,43,10+0,1550,1225,E11,8,Mate,White
TRUE,11,15+15,1325,1234,B02,2,Resign,White
TRUE,72,15+15,1212,1221,B02,5,Mate,Black
TRUE,156,15+15,1226,1478,C40,3,Mate,Black
TRUE,18,25+0,1228,1626,D30,4,Resign,Black
FALSE,77,10+2,1191,1228,C11,7,Mate,White
TRUE,32,30+0,1422,1210,B02,5,Resign,Black
TRUE,35,15+15,1186,1223,C28,5,Resign,White
TRUE,85,15+15,1212,1212,B06,2,Mate,White
TRUE,50,15+15,1228,1343,B01,6,Resign,Black
TRUE,111,10+10,1865,1862,A46,5,Resign,White
TRUE,65,7+2,1852,1852,B30,5,Out of Time,White
TRUE,73,15+0,1833,1863,A56,4,Resign,White
TRUE,125,15+0,1851,1918,B27,4,Resign,White
TRUE,76,15+0,1861,1844,C55,6,Resign,Black
TRUE,65,10+0,1853,1774,C65,6,Out of Time,White
TRUE,41,10+0,1910,1862,B90,11,Mate,White
TRUE,59,10+0,1851,1890,C00,3,Resign,White
TRUE,70,15+5,1860,1840,B50,5,Resign,Black
TRUE,34,25+25,1828,1848,B51,5,Resign,White
TRUE,69,8+0,1855,1858,E00,1,Out of Time,White
TRUE,63,10+10,1847,1895,C70,8,Resign,White
TRUE,107,10+10,1885,1856,B50,4,Resign,White
TRUE,58,30+0,1847,1802,A40,1,Resign,White
FALSE,34,20+5,1847,1856,B11,6,Resign,Black
TRUE,100,15+0,1840,1837,B22,3,Out of Time,Black
TRUE,80,5+5,1848,1806,B40,4,Resign,Black
TRUE,44,15+0,1860,1820,C00,3,Resign,Black
TRUE,40,10+0,1854,1849,A45,3,Out of Time,Black
TRUE,105,10+0,1895,1859,B50,4,Out of Time,White
TRUE,50,15+0,1866,1965,B31,6,Resign,Black
FALSE,144,10+0,1866,1843,B50,4,Out of Time,Draw
FALSE,81,10+0,1835,1866,B18,11,Resign,Black
TRUE,69,15+0,1877,1860,C61,6,Resign,Black
TRUE,77,7+8,1849,1874,B90,11,Mate,White
TRUE,158,6+6,1835,1865,E10,6,Mate,Black
TRUE,107,15+5,1866,1835,C55,7,Draw,Draw
TRUE,117,15+0,1856,1829,C78,12,Mate,White
TRUE,44,10+0,1845,1846,C70,8,Resign,White
TRUE,40,15+0,1834,1835,B30,4,Resign,Black
TRUE,59,15+5,1846,1845,B10,2,Resign,White
FALSE,110,10+0,1845,1917,D06,4,Resign,Black
TRUE,30,15+0,1858,1790,B01,4,Resign,Black
TRUE,54,10+0,1871,1847,B30,4,Resign,Black
TRUE,69,10+0,1846,1869,C41,5,Resign,Black
TRUE,178,16+0,1843,1836,B22,3,Mate,Black
TRUE,136,15+0,1800,1826,B20,2,Resign,Black
FALSE,124,8+0,1283,1267,B30,5,Mate,Black
TRUE,96,10+4,1290,1270,A00,1,Resign,Black
TRUE,53,12+0,1331,1281,D00,4,Out of Time,White
TRUE,39,10+0,1304,1292,A00,1,Mate,White
TRUE,10,10+0,1305,1293,C00,3,Mate,Black
TRUE,51,10+0,1308,1317,C22,8,Mate,White
TRUE,18,15+0,1296,1305,C54,13,Resign,Black
FALSE,106,30+0,968,1305,C50,8,Mate,Black
FALSE,38,15+15,1293,1466,C41,5,Mate,Black
TRUE,59,7+2,1500,1299,C68,7,Mate,White
TRUE,111,7+2,1288,1232,B12,3,Mate,White
TRUE,28,7+2,1289,2108,C77,9,Resign,Black
FALSE,101,7+2,1431,1289,C22,6,Out of Time,White
FALSE,15,7+2,1806,1289,C45,7,Mate,White
FALSE,42,7+2,1289,1311,C41,5,Resign,White
FALSE,118,7+2,1431,1289,A40,3,Resign,Black
FALSE,34,7+2,1289,1484,C50,6,Resign,Black
FALSE,60,7+2,1289,1810,A42,5,Resign,Black
FALSE,66,7+2,1806,1289,C44,5,Resign,Black
FALSE,21,5+8,1289,1500,C41,5,Out of Time,White
TRUE,73,15+1,1409,1297,C70,8,Mate,White
TRUE,159,15+1,1280,1485,C55,6,Mate,White
FALSE,74,15+0,1280,1211,B01,4,Resign,White
FALSE,28,15+0,1211,1280,A00,3,Mate,Black
TRUE,112,10+0,1281,1765,C41,6,Mate,Black
TRUE,104,15+1,1288,1454,C42,4,Resign,Black
TRUE,40,15+1,1560,1270,D07,5,Mate,Black
TRUE,44,15+1,1274,1534,B27,4,Mate,Black
TRUE,150,15+1,1259,1663,C55,6,Draw,Draw
TRUE,60,10+0,1614,1238,D02,5,Mate,Black
TRUE,37,10+0,1221,1417,C02,11,Mate,White
TRUE,88,10+0,1222,1732,B32,7,Out of Time,Black
TRUE,113,10+0,1232,1234,C68,7,Mate,White
TRUE,55,20+5,1240,1219,C42,8,Mate,White
TRUE,135,10+0,1590,1600,A22,5,Mate,White
TRUE,137,10+0,1568,1617,C50,5,Draw,Draw
TRUE,97,10+0,1500,1358,C46,6,Out of Time,White
FALSE,33,10+2,1384,1325,B07,2,Resign,Black
FALSE,29,30+0,1384,1265,A06,3,Resign,Black
FALSE,55,2+10,1384,1950,A04,2,Resign,Black
TRUE,91,20+10,1377,1249,B01,4,Resign,White
TRUE,53,9+0,1375,1389,C20,4,Resign,White
TRUE,49,10+2,1378,1361,C41,5,Mate,White
TRUE,48,10+2,1261,1371,B07,4,Mate,Black
TRUE,20,10+9,1380,1429,B30,4,Resign,Black
TRUE,87,10+0,1369,1368,C42,6,Mate,White
TRUE,11,10+0,1290,1371,C77,9,Resign,White
TRUE,110,15+3,1372,1326,B00,2,Draw,Draw
TRUE,24,6+7,1361,1383,A00,1,Resign,White
TRUE,23,15+15,1217,1399,A22,4,Resign,White
TRUE,81,15+30,1387,1447,C60,5,Mate,White
FALSE,34,20+0,1474,1387,B01,2,Resign,Black
TRUE,103,15+2,1377,1351,C41,4,Mate,White
TRUE,29,30+10,1389,1339,C40,4,Resign,Black
FALSE,22,30+15,1389,1400,C41,4,Resign,Black
FALSE,38,10+0,1849,1389,C44,5,Resign,White
TRUE,46,8+0,1395,1378,C50,9,Mate,Black
TRUE,23,5+5,1370,1257,C61,6,Out of Time,White
TRUE,31,10+3,1360,1332,B00,5,Resign,White
FALSE,51,10+0,1311,1360,C21,4,Resign,White
FALSE,87,20+0,1714,1360,C64,6,Mate,White
TRUE,31,45+30,1354,1217,C50,5,Mate,White
TRUE,38,15+15,1245,1346,D20,5,Resign,Black
FALSE,43,10+4,1346,1099,C55,6,Resign,White
TRUE,105,9+2,1336,1287,A07,4,Resign,White
FALSE,87,10+0,1580,1555,A10,2,Out of Time,White
FALSE,36,10+0,1555,1580,B40,6,Mate,Black
TRUE,38,6+6,1649,1547,C02,6,Resign,Black
TRUE,110,8+0,1426,1527,C00,3,Resign,Black
TRUE,48,15+0,1557,1547,C70,8,Resign,Black
FALSE,95,5+8,1557,1607,E20,5,Mate,White
FALSE,70,5+8,1607,1557,A02,1,Mate,Black
FALSE,42,10+0,1557,1632,B32,7,Resign,White
TRUE,177,10+3,1535,1609,C58,11,Out of Time,White
TRUE,114,10+2,1713,1558,A00,2,Mate,Black
TRUE,57,10+2,1497,1730,B00,2,Resign,White
TRUE,57,7+3,1437,1552,C50,5,Resign,White
FALSE,82,10+0,1516,1552,A03,2,Draw,Draw
TRUE,29,7+3,1513,1456,B54,5,Mate,White
TRUE,70,10+0,1355,1478,C55,7,Resign,Black
TRUE,97,10+0,1638,1614,C55,6,Mate,White
TRUE,99,6+5,1613,1934,B12,11,Resign,White
FALSE,74,10+0,1865,1613,D03,5,Resign,Black
TRUE,48,8+0,1776,1587,D00,2,Mate,Black
TRUE,77,15+0,1568,1593,C10,6,Mate,White
TRUE,80,15+0,1605,1546,B01,6,Resign,Black
TRUE,35,8+0,1518,1709,B00,5,Resign,White
TRUE,33,10+0,1728,1527,D31,8,Resign,White
TRUE,87,10+0,1515,1379,B01,4,Mate,White
TRUE,40,10+0,1538,1501,B06,4,Resign,Black
TRUE,54,10+0,1511,1516,D30,4,Resign,Black
TRUE,67,10+0,1464,1495,C69,9,Resign,Black
TRUE,21,10+0,1470,1475,C40,4,Mate,White
TRUE,14,10+0,1490,1440,C50,6,Mate,Black
FALSE,71,15+15,1611,1974,D41,18,Resign,White
TRUE,72,10+0,1611,1945,E20,8,Out of Time,Black
TRUE,62,10+0,1584,1611,A31,5,Resign,Black
TRUE,48,10+0,1942,1611,A00,1,Resign,Black
TRUE,6,10+2,1217,1611,C46,6,Out of Time,Black
TRUE,69,20+0,1611,2059,D46,12,Draw,Draw
TRUE,72,15+15,1611,1478,B27,4,Resign,White
TRUE,40,15+15,1486,1552,C44,5,Mate,Black
TRUE,29,15+15,1453,1496,B06,2,Mate,White
TRUE,44,15+15,1340,1326,A40,2,Resign,White
TRUE,59,10+0,1532,1500,C00,3,Mate,White
TRUE,115,10+0,1560,1557,C34,6,Resign,White
TRUE,70,10+0,1571,1577,A03,2,Resign,Black
TRUE,36,10+0,1580,1617,A03,2,Resign,Black
TRUE,83,10+0,1531,1593,C46,7,Resign,White
TRUE,99,10+0,1449,1597,C48,9,Draw,Draw
TRUE,43,10+0,1743,1604,C34,6,Resign,White
TRUE,89,10+0,1604,1614,C48,8,Resign,White
TRUE,96,10+0,1550,1605,D00,3,Resign,Black
FALSE,116,10+0,1630,1605,C42,8,Mate,Black
FALSE,78,15+0,1475,1605,A00,1,Mate,Black
FALSE,77,15+0,1605,1475,A02,1,Mate,White
FALSE,70,15+0,1475,1605,C20,3,Mate,Black
FALSE,27,10+0,1570,1605,C42,7,Resign,White
FALSE,102,10+0,1605,1500,A02,1,Resign,Black
FALSE,21,10+0,1500,1605,C47,9,Resign,White
FALSE,33,10+0,1605,1500,A02,1,Resign,White
FALSE,74,10+0,1513,1605,C42,5,Resign,Black
TRUE,65,25+5,1790,1874,A00,1,Resign,White
TRUE,81,25+5,1864,1805,B24,5,Resign,White
TRUE,45,25+5,1496,1861,A45,3,Resign,Black
TRUE,52,25+5,1851,1853,C67,8,Resign,White
TRUE,51,10+0,1861,1863,B11,4,Resign,White
TRUE,48,10+0,1618,1609,C00,3,Draw,Draw
TRUE,20,10+0,1620,1607,A00,1,Resign,Black
TRUE,50,10+0,1621,1496,B30,5,Mate,Black
TRUE,98,10+0,1633,1581,C41,5,Resign,Black
TRUE,106,10+0,1623,1623,C60,6,Mate,Black
TRUE,19,10+0,1612,1614,C50,5,Resign,White
TRUE,22,10+0,1605,1624,C50,8,Resign,White
TRUE,114,10+0,1693,1621,E61,4,Draw,Draw
TRUE,69,10+0,1631,1684,B50,4,Resign,Black
TRUE,34,10+0,1636,1619,C53,8,Mate,Black
TRUE,40,10+0,1613,1617,C57,8,Mate,Black
TRUE,108,10+0,1627,1495,C50,6,Resign,Black
TRUE,27,10+0,1480,1643,C23,3,Resign,White
TRUE,63,10+0,1631,1652,B30,5,Resign,White
TRUE,31,10+0,1687,1641,C44,5,Resign,White
TRUE,71,10+0,1630,1638,C55,6,Resign,White
TRUE,92,10+0,1414,1624,C60,6,Mate,Black
TRUE,47,10+0,1619,1419,C57,7,Mate,White
TRUE,56,10+0,1629,1659,C42,5,Resign,Black
TRUE,48,10+0,1649,1639,C23,3,Resign,White
TRUE,124,10+0,1677,1627,A00,1,Resign,Black
TRUE,49,10+0,1705,1636,C45,8,Mate,White
TRUE,64,10+0,1647,1635,B96,13,Resign,Black
TRUE,29,10+0,1637,1627,C53,7,Resign,White
TRUE,45,10+0,1626,1631,C50,5,Resign,White
TRUE,96,10+0,1602,1615,C34,6,Resign,Black
TRUE,92,10+0,1634,1603,C23,3,Resign,Black
TRUE,40,10+0,1611,1591,C50,9,Mate,Black
TRUE,123,10+0,1579,1623,C54,19,Mate,White
TRUE,129,10+0,1995,1581,A05,4,Mate,White
TRUE,120,10+0,1589,1569,D92,9,Mate,Black
TRUE,71,10+0,1570,1555,C55,6,Draw,Draw
TRUE,97,10+0,1559,1557,C00,3,Mate,White
TRUE,60,10+0,1546,1571,A45,2,Resign,White
TRUE,57,10+0,1550,1567,B21,6,Resign,White
TRUE,38,5+7,1560,1419,B12,5,Resign,White
TRUE,111,8+0,1840,1564,C45,8,Resign,White
TRUE,119,10+0,1660,1549,A49,4,Resign,Black
TRUE,33,10+0,1534,1678,C41,5,Mate,White
TRUE,32,10+0,1789,1538,E10,6,Resign,White
TRUE,96,15+0,1841,1921,C22,8,Resign,Black
TRUE,92,8+10,1926,1737,A04,2,Draw,Draw
TRUE,64,8+2,1629,1887,D00,3,Resign,Black
TRUE,10,5+5,1860,1712,C37,7,Resign,Black
TRUE,85,20+8,1500,1568,A09,4,Resign,White
TRUE,40,10+0,1780,2132,B90,10,Resign,Black
TRUE,58,10+0,966,1124,B01,2,Resign,Black
TRUE,26,15+15,884,951,A01,2,Out of Time,Black
TRUE,4,15+15,945,1070,C40,3,Out of Time,Black
TRUE,118,10+0,971,1149,B00,3,Mate,Black
TRUE,11,15+15,1238,985,A00,1,Mate,White
TRUE,163,10+0,972,1247,A20,2,Out of Time,Draw
TRUE,95,10+0,1107,961,B00,4,Mate,White
TRUE,37,10+0,974,1129,D00,3,Resign,Black
TRUE,101,10+2,1203,970,C21,3,Mate,White
TRUE,80,10+0,998,937,C00,5,Out of Time,Black
TRUE,78,10+0,1016,1126,A00,1,Resign,Black
TRUE,89,10+0,1025,1153,C01,4,Out of Time,Draw
TRUE,42,10+0,1047,1151,D02,4,Mate,Black
TRUE,8,10+0,998,1016,C44,6,Out of Time,Black
TRUE,101,10+0,1127,1044,C20,3,Out of Time,White
TRUE,65,10+0,1020,1200,D02,3,Out of Time,White
TRUE,60,10+0,1069,1071,D02,4,Mate,Black
TRUE,71,10+0,1071,1068,D00,3,Draw,Draw
TRUE,44,10+0,1115,1223,D01,4,Resign,Black
TRUE,20,10+0,1190,1213,D01,4,Resign,Black
TRUE,41,10+0,1337,1337,C40,3,Resign,White
TRUE,40,10+0,1500,1500,B01,2,Resign,Black
TRUE,27,25+25,1500,1571,C41,7,Resign,White
TRUE,59,15+10,1367,1866,A00,1,Resign,Black
TRUE,19,10+0,1590,1373,B00,2,Mate,White
TRUE,50,10+0,1377,1667,A00,1,Mate,Black
TRUE,34,10+0,1558,1358,C88,15,Resign,Black
TRUE,15,5+8,1476,1367,B00,2,Mate,White
TRUE,52,5+8,1376,1469,A00,1,Resign,Black
TRUE,65,5+8,1460,1386,B00,2,Mate,White
TRUE,67,10+0,1372,1408,C41,5,Resign,White
TRUE,31,5+5,1373,2148,B40,4,Resign,Black
FALSE,130,8+0,1500,1395,C00,2,Mate,Black
TRUE,125,8+0,1382,1414,C01,5,Mate,White
TRUE,76,15+5,1320,1400,C00,3,Resign,Black
TRUE,121,15+5,1383,1330,A46,3,Resign,White
FALSE,53,30+0,1383,1242,D02,3,Resign,White
TRUE,116,16+0,1469,1357,C02,9,Out of Time,Black
FALSE,47,25+0,959,1357,A00,4,Resign,White
FALSE,53,25+0,1357,959,D00,3,Resign,White
FALSE,76,25+0,959,1357,A00,4,Mate,Black
TRUE,110,15+10,1588,1691,C50,8,Draw,Draw
TRUE,67,15+3,1541,1586,B34,9,Mate,White
TRUE,17,30+5,1517,1320,C40,4,Resign,White
TRUE,39,25+15,1569,1569,A01,2,Mate,White
TRUE,94,30+0,1563,1498,C03,5,Resign,Black
TRUE,37,10+10,1903,1512,E20,8,Resign,White
TRUE,37,20+0,1612,1450,B13,5,Mate,White
FALSE,34,15+15,1327,1450,B00,3,Resign,White
FALSE,41,10+0,1245,1450,B12,5,Out of Time,White
FALSE,30,15+7,1921,1451,C40,4,Resign,Black
TRUE,51,10+0,1462,1464,A00,3,Resign,White
TRUE,79,10+0,1450,1486,C33,6,Mate,White
TRUE,83,10+0,1439,1418,C33,5,Resign,White
TRUE,14,8+8,1728,1500,C55,6,Resign,Black
TRUE,21,10+0,1547,1563,B02,4,Resign,White
TRUE,47,10+0,1863,1567,B02,2,Resign,White
TRUE,38,10+0,1559,1423,A40,2,Resign,White
TRUE,34,10+0,1570,1611,B06,7,Resign,Black
TRUE,39,10+0,1562,1582,B03,6,Resign,White
TRUE,43,5+9,1576,1386,D00,3,Resign,White
TRUE,41,5+8,1353,1595,B10,3,Mate,White
TRUE,49,16+7,1591,1326,D00,3,Resign,White
TRUE,38,10+10,1560,1580,B02,4,Out of Time,Black
TRUE,70,5+5,1727,1574,B01,4,Out of Time,Black
TRUE,48,10+0,1579,1841,E00,4,Resign,Black
TRUE,50,10+0,1877,1558,C11,11,Resign,Black
TRUE,57,10+0,1536,1962,A45,3,Resign,White
TRUE,148,10+0,1529,1763,D00,3,Out of Time,Draw
TRUE,62,10+7,1590,1515,B01,4,Mate,Black
TRUE,29,10+0,1653,1522,A80,2,Resign,White
TRUE,52,10+0,1675,1505,B01,6,Mate,Black
TRUE,26,10+0,1547,1491,B01,6,Mate,Black
TRUE,59,10+0,1507,1399,A40,2,Resign,Black
TRUE,2,10+0,1641,1502,B01,2,Draw,Draw
TRUE,195,10+0,1496,1703,A48,5,Draw,Draw
TRUE,56,10+0,1482,1484,B01,4,Resign,Black
TRUE,40,10+0,1486,1909,A40,2,Resign,Black
TRUE,31,10+0,1919,1488,A11,2,Mate,White
TRUE,60,10+0,1488,2192,A45,2,Resign,Black
TRUE,45,10+0,1470,1684,D00,3,Resign,White
TRUE,63,5+8,1465,1659,A81,3,Draw,Draw
TRUE,17,10+0,1586,1473,D02,5,Resign,White
TRUE,34,10+0,1548,1488,B03,6,Resign,White
TRUE,36,10+0,1500,1501,A45,2,Mate,Black
TRUE,62,10+0,1509,1487,B05,8,Mate,Black
TRUE,46,7+5,1356,1491,B01,2,Draw,Draw
TRUE,34,10+0,1495,1771,A45,2,Resign,Black
TRUE,38,5+5,1529,1639,C00,3,Resign,White
TRUE,107,5+5,1631,1537,C41,6,Resign,White
TRUE,42,5+5,1546,1621,B54,6,Resign,Black
TRUE,35,5+5,1568,1636,C00,5,Resign,White
TRUE,122,5+5,1354,1631,C00,5,Mate,Black
TRUE,71,5+5,1626,1384,B53,7,Mate,White
TRUE,42,5+5,1639,1813,B06,6,Resign,Black
TRUE,2,5+5,1646,1795,D00,2,Out of Time,Black
TRUE,11,5+5,1646,939,D10,4,Resign,White
TRUE,54,5+5,1657,1678,B08,8,Resign,Black
TRUE,58,5+5,1667,1668,B06,5,Resign,White
TRUE,42,5+5,1683,1599,C30,4,Resign,Black
TRUE,116,5+5,1596,1686,A40,2,Draw,Draw
TRUE,74,5+5,1769,1659,A10,2,Mate,Black
TRUE,54,5+5,1668,1761,A40,2,Mate,Black
TRUE,85,5+5,1752,1677,A15,2,Resign,White
TRUE,38,5+5,1688,1743,B43,10,Resign,Black
TRUE,41,5+5,1582,1704,C00,3,Resign,White
TRUE,121,5+5,1693,1666,B53,7,Mate,White
TRUE,30,5+5,1676,1680,C00,3,Resign,Black
TRUE,64,10+3,1142,1679,D00,3,Resign,Black
TRUE,15,10+3,1678,1148,C21,10,Mate,White
TRUE,40,10+3,1154,1676,A00,1,Resign,Black
TRUE,128,10+3,1686,1098,B00,2,Draw,Draw
TRUE,48,10+3,1102,1685,A00,1,Resign,Black
TRUE,51,10+3,1684,1107,C01,4,Mate,White
TRUE,71,5+5,1493,1678,C00,2,Resign,Black
TRUE,60,5+5,1525,1693,D02,3,Resign,White
TRUE,58,5+5,1709,1681,A40,2,Mate,Black
TRUE,60,5+5,1692,1699,A03,2,Resign,Black
TRUE,40,5+5,1688,1704,A10,2,Resign,White
TRUE,29,5+5,1699,1497,A11,2,Out of Time,White
